# wave (µm)	R (µW cm-2 sr-1 µm-1)
9.48700047e+00	8.94253430e-01
9.48900032e+00	1.26377250e+00
9.49100018e+00	1.27615640e+00
9.49300003e+00	9.52893970e-01
9.49499989e+00	5.52878860e-01
9.49699974e+00	5.39908050e-01
9.49899960e+00	8.25307430e-01
9.50100040e+00	1.29487090e+00
9.50300026e+00	1.31545040e+00
9.50500011e+00	1.10018660e+00
9.50699997e+00	8.35958660e-01
9.50899982e+00	5.94783900e-01
9.51099968e+00	6.63653790e-01
9.51299953e+00	1.17309750e+00
9.51500034e+00	1.54578380e+00
9.51700020e+00	1.69945760e+00
9.51900005e+00	1.78584420e+00
9.52099991e+00	1.76689090e+00
9.52299976e+00	1.64598230e+00
9.52499962e+00	1.40147780e+00
9.52700043e+00	1.00880690e+00
9.52900028e+00	7.57854940e-01
9.53100014e+00	8.63814890e-01
9.53299999e+00	1.19363460e+00
9.53499985e+00	1.27025690e+00
9.53699970e+00	1.37088950e+00
9.53899956e+00	1.37893010e+00
9.54100037e+00	1.14068580e+00
9.54300022e+00	1.01144180e+00
9.54500008e+00	1.09872250e+00
9.54699993e+00	1.01026460e+00
9.54899979e+00	8.62088380e-01
9.55099964e+00	6.78862750e-01
9.55300045e+00	4.62617340e-01
9.55500031e+00	3.46972410e-01
9.55700016e+00	3.15513340e-01
9.55900002e+00	4.24617710e-01
9.56099987e+00	5.56661190e-01
9.56299973e+00	6.46926640e-01
9.56499958e+00	7.91551530e-01
9.56700039e+00	6.68066500e-01
9.56900024e+00	7.22522440e-01
9.57100010e+00	1.13095200e+00
9.57299995e+00	1.39646150e+00
9.57499981e+00	1.53425190e+00
9.57699966e+00	1.61069380e+00
9.57900047e+00	1.68456980e+00
9.58100033e+00	1.81292680e+00
9.58300018e+00	1.85458640e+00
9.58500004e+00	1.65793240e+00
9.58699989e+00	1.59160280e+00
9.58899975e+00	1.98398020e+00
9.59099960e+00	2.14758250e+00
9.59300041e+00	2.20497680e+00
9.59500027e+00	2.23418950e+00
9.59700012e+00	2.24583670e+00
9.59899998e+00	2.14158110e+00
9.60099983e+00	1.61659990e+00
9.60299969e+00	1.14629270e+00
9.60499954e+00	1.26529150e+00
9.60700035e+00	1.60712680e+00
9.60900021e+00	2.07456280e+00
9.61100006e+00	2.09097980e+00
9.61299992e+00	1.50761340e+00
9.61499977e+00	1.01524950e+00
9.61699963e+00	1.71628890e+00
9.61900043e+00	2.17350530e+00
9.62100029e+00	1.96067820e+00
9.62300014e+00	1.30449370e+00
9.62500000e+00	1.49723420e+00
9.62699986e+00	1.38866890e+00
9.62899971e+00	8.19579060e-01
9.63099957e+00	1.18311490e+00
9.63300037e+00	2.00301790e+00
9.63500023e+00	2.21098380e+00
9.63700008e+00	2.01684400e+00
9.63899994e+00	2.24535990e+00
9.64099979e+00	2.42411490e+00
9.64299965e+00	2.42578630e+00
9.64500046e+00	2.39330170e+00
9.64700031e+00	2.34520480e+00
9.64900017e+00	2.26060460e+00
9.65100002e+00	2.15379020e+00
9.65299988e+00	2.09999300e+00
9.65499973e+00	2.01641990e+00
9.65699959e+00	1.89336360e+00
9.65900040e+00	1.74088720e+00
9.66100025e+00	1.55658170e+00
9.66300011e+00	1.29300170e+00
9.66499996e+00	9.08546570e-01
9.66699982e+00	6.46840450e-01
9.66899967e+00	4.53226270e-01
9.67099953e+00	4.90583360e-01
9.67300034e+00	7.18420330e-01
9.67500019e+00	7.75714460e-01
9.67700005e+00	5.25149700e-01
9.67899990e+00	5.14896930e-01
9.68099976e+00	8.64312830e-01
9.68299961e+00	1.05198760e+00
9.68500042e+00	8.80333960e-01
9.68700027e+00	5.39957580e-01
9.68900013e+00	4.55905590e-01
9.69099998e+00	6.52408660e-01
9.69299984e+00	5.92069980e-01
9.69499969e+00	6.41085570e-01
9.69699955e+00	1.10367010e+00
9.69900036e+00	1.33607550e+00
9.70100021e+00	1.21056290e+00
9.70300007e+00	8.59065000e-01
9.70499992e+00	6.55223130e-01
9.70699978e+00	9.26877680e-01
9.70899963e+00	1.23604700e+00
9.71100044e+00	1.44966820e+00
9.71300030e+00	1.69182120e+00
9.71500015e+00	1.75482750e+00
9.71700001e+00	1.76628520e+00
9.71899986e+00	1.79795070e+00
9.72099972e+00	1.74487780e+00
9.72299957e+00	1.64420580e+00
9.72500038e+00	1.50919530e+00
9.72700024e+00	1.33584460e+00
9.72900009e+00	1.17761270e+00
9.73099995e+00	9.85511180e-01
9.73299980e+00	7.39574610e-01
9.73499966e+00	5.02610980e-01
9.73700047e+00	4.09955770e-01
9.73900032e+00	5.64103250e-01
9.74100018e+00	7.95911730e-01
9.74300003e+00	9.69368990e-01
9.74499989e+00	8.86826520e-01
9.74699974e+00	8.51188960e-01
9.74899960e+00	1.31084440e+00
