# wave (µm)	R (µW cm-2 sr-1 µm-1)
1.10889997e+01	5.09426640e+00
1.10909996e+01	5.08822010e+00
1.10930004e+01	5.00878000e+00
1.10950003e+01	5.01166200e+00
1.10970001e+01	5.09147210e+00
1.10990000e+01	5.01912830e+00
1.11009998e+01	4.91411300e+00
1.11029997e+01	4.98321960e+00
1.11049995e+01	5.11051320e+00
1.11070003e+01	5.17299600e+00
1.11090002e+01	5.20981360e+00
1.11110001e+01	5.22477820e+00
1.11129999e+01	5.22778320e+00
1.11149998e+01	5.22592500e+00
1.11169996e+01	5.22986750e+00
1.11190004e+01	5.22814850e+00
1.11210003e+01	5.22711560e+00
1.11230001e+01	5.21886920e+00
1.11250000e+01	5.20686340e+00
1.11269999e+01	5.20257520e+00
1.11289997e+01	5.18906500e+00
1.11309996e+01	5.18842840e+00
1.11330004e+01	5.17749450e+00
1.11350002e+01	5.14574240e+00
1.11370001e+01	5.12132220e+00
1.11389999e+01	5.07589240e+00
1.11409998e+01	5.05648850e+00
1.11429997e+01	5.07083890e+00
1.11450005e+01	5.05769920e+00
1.11470003e+01	5.04054550e+00
1.11490002e+01	5.01592780e+00
1.11510000e+01	4.98185210e+00
1.11529999e+01	4.95742890e+00
1.11549997e+01	4.93059110e+00
1.11569996e+01	4.89078140e+00
1.11590004e+01	4.84639930e+00
1.11610003e+01	4.80177120e+00
1.11630001e+01	4.76059770e+00
1.11650000e+01	4.70090960e+00
1.11669998e+01	4.61531500e+00
1.11689997e+01	4.53025670e+00
1.11709995e+01	4.49284980e+00
1.11730003e+01	4.46086120e+00
1.11750002e+01	4.39943080e+00
1.11770001e+01	4.32170720e+00
1.11789999e+01	4.24575000e+00
1.11809998e+01	4.13172770e+00
1.11829996e+01	4.02291490e+00
1.11850004e+01	3.91811420e+00
1.11870003e+01	3.80182550e+00
1.11890001e+01	3.67840790e+00
1.11910000e+01	3.51898380e+00
1.11929998e+01	3.35481640e+00
1.11949997e+01	3.19986990e+00
1.11969995e+01	3.00938250e+00
1.11990004e+01	2.80026630e+00
1.12010002e+01	2.55651970e+00
1.12030001e+01	2.25500270e+00
1.12049999e+01	1.88725720e+00
1.12069998e+01	1.49788220e+00
1.12089996e+01	1.30654290e+00
1.12110004e+01	1.33235090e+00
1.12130003e+01	1.48533990e+00
1.12150001e+01	1.88672130e+00
1.12170000e+01	2.28300810e+00
1.12189999e+01	2.59597660e+00
1.12209997e+01	2.85002920e+00
1.12229996e+01	3.04044870e+00
1.12250004e+01	3.20385530e+00
1.12270002e+01	3.35704090e+00
1.12290001e+01	3.50468640e+00
1.12309999e+01	3.63944130e+00
1.12329998e+01	3.72397760e+00
1.12349997e+01	3.76078030e+00
1.12370005e+01	3.79390570e+00
1.12390003e+01	3.80919580e+00
1.12410002e+01	3.77768300e+00
1.12430000e+01	3.70977880e+00
1.12449999e+01	3.64667440e+00
1.12469997e+01	3.57751850e+00
1.12489996e+01	3.45152380e+00
1.12510004e+01	3.26706340e+00
1.12530003e+01	3.02455900e+00
1.12550001e+01	2.68421720e+00
1.12570000e+01	2.24370460e+00
1.12589998e+01	1.74081610e+00
1.12609997e+01	1.43070950e+00
1.12629995e+01	1.52234710e+00
1.12650003e+01	1.95426760e+00
1.12670002e+01	2.47916820e+00
1.12690001e+01	2.87863560e+00
1.12709999e+01	3.16902490e+00
1.12729998e+01	3.42062260e+00
1.12749996e+01	3.62116360e+00
1.12770004e+01	3.79600260e+00
1.12790003e+01	3.96935320e+00
1.12810001e+01	4.11841340e+00
1.12830000e+01	4.26015520e+00
