# wave (µm)	R (µW cm-2 sr-1 µm-1)
5.30450010e+00	7.20072630e-01
5.30550098e+00	6.98994340e-01
5.30649996e+00	7.02348230e-01
5.30749989e+00	7.06310210e-01
5.30849981e+00	6.98308890e-01
5.30950022e+00	6.94296420e-01
5.31050014e+00	6.85351670e-01
5.31150103e+00	6.78872230e-01
5.31250000e+00	6.32309680e-01
5.31349993e+00	5.15821400e-01
5.31449986e+00	4.28856430e-01
5.31549978e+00	3.93819870e-01
5.31650019e+00	3.59702500e-01
5.31750011e+00	4.10724640e-01
5.31850100e+00	4.18773410e-01
5.31949997e+00	4.42887100e-01
5.32049990e+00	4.51469030e-01
5.32149982e+00	4.54140900e-01
5.32250023e+00	4.17330150e-01
5.32350016e+00	4.73504630e-01
5.32450008e+00	5.17727200e-01
5.32550001e+00	5.02955790e-01
5.32649994e+00	5.69267510e-01
5.32749987e+00	6.11942170e-01
5.32849979e+00	5.53661170e-01
5.32950020e+00	5.54192660e-01
5.33050013e+00	6.26285790e-01
5.33150101e+00	6.09450820e-01
5.33249998e+00	5.70982640e-01
5.33349991e+00	5.76274930e-01
5.33449984e+00	6.46674280e-01
5.33549976e+00	6.70091810e-01
5.33650017e+00	6.44123260e-01
5.33750010e+00	6.35490120e-01
5.33850002e+00	6.44740520e-01
5.33949995e+00	6.69293400e-01
5.34049988e+00	6.88908580e-01
5.34149981e+00	6.80821960e-01
5.34250021e+00	6.64120080e-01
5.34350014e+00	6.56695130e-01
5.34450102e+00	6.60186890e-01
5.34549999e+00	6.59387290e-01
5.34649992e+00	6.57787620e-01
5.34749985e+00	6.44002380e-01
5.34849977e+00	6.18925630e-01
5.34950018e+00	5.97384510e-01
5.35050011e+00	5.77202740e-01
5.35150099e+00	5.77806230e-01
5.35249996e+00	6.05014680e-01
5.35349989e+00	6.14593680e-01
5.35449982e+00	6.29942180e-01
5.35550022e+00	6.48965600e-01
5.35650015e+00	6.50412200e-01
5.35750008e+00	6.50886300e-01
5.35850000e+00	6.50503810e-01
5.35949993e+00	6.28462080e-01
5.36049986e+00	6.20101030e-01
5.36149979e+00	6.59963130e-01
5.36250019e+00	6.72905090e-01
5.36350012e+00	6.57751680e-01
5.36450100e+00	6.57002090e-01
5.36549997e+00	6.64104280e-01
5.36649990e+00	6.67161520e-01
5.36749983e+00	6.43063660e-01
5.36850023e+00	5.76785150e-01
5.36950016e+00	4.66293390e-01
5.37050104e+00	5.36852180e-01
5.37150002e+00	6.33496700e-01
5.37249994e+00	6.36424360e-01
5.37349987e+00	6.22020780e-01
5.37449980e+00	6.43913270e-01
5.37550020e+00	6.38822670e-01
5.37650013e+00	6.00806710e-01
5.37750101e+00	6.11401980e-01
5.37849998e+00	6.45407860e-01
5.37949991e+00	6.59987330e-01
5.38049984e+00	6.75406930e-01
5.38149977e+00	6.86590250e-01
5.38250017e+00	6.85536860e-01
5.38350010e+00	6.95275550e-01
5.38450098e+00	6.82617250e-01
5.38549995e+00	6.72545370e-01
5.38649988e+00	7.00489580e-01
5.38749981e+00	7.13771280e-01
5.38850021e+00	7.11292920e-01
5.38950014e+00	7.07373140e-01
5.39050007e+00	6.98164340e-01
5.39150000e+00	7.06148800e-01
5.39249992e+00	7.03695540e-01
5.39349985e+00	7.04385400e-01
5.39449978e+00	6.87237200e-01
5.39550018e+00	6.51783350e-01
5.39650011e+00	6.60352590e-01
5.39750099e+00	6.78877230e-01
5.39849997e+00	6.58513490e-01
5.39949989e+00	6.50368870e-01
5.40049982e+00	6.67104070e-01
5.40150023e+00	6.89128220e-01
5.40250015e+00	6.91537980e-01
5.40350103e+00	6.96860020e-01
5.40450001e+00	7.04928220e-01
5.40549994e+00	6.98944630e-01
5.40649986e+00	6.95482490e-01
5.40749979e+00	6.97286250e-01
5.40850019e+00	6.88987140e-01
5.40950012e+00	6.72698200e-01
5.41050100e+00	6.33320810e-01
5.41149998e+00	6.10081200e-01
5.41249990e+00	6.17267190e-01
5.41349983e+00	6.33719920e-01
5.41450024e+00	6.63608910e-01
5.41550016e+00	6.70895040e-01
5.41650009e+00	6.57552240e-01
5.41750002e+00	6.22963730e-01
5.41849995e+00	5.93533520e-01
5.41949987e+00	5.75107220e-01
5.42049980e+00	5.47932030e-01
5.42150021e+00	5.03435490e-01
5.42250013e+00	4.88722090e-01
5.42350006e+00	5.19192810e-01
5.42449999e+00	5.26928960e-01
5.42549992e+00	5.56876960e-01
5.42649984e+00	5.34538750e-01
5.42749977e+00	4.80724160e-01
5.42850018e+00	3.87824980e-01
5.42950106e+00	4.59714740e-01
5.43050098e+00	5.53061780e-01
5.43149996e+00	5.55972220e-01
5.43249989e+00	5.32534480e-01
5.43349981e+00	5.51189420e-01
5.43450022e+00	6.06679260e-01
5.43550014e+00	6.16761270e-01
5.43650103e+00	6.18483480e-01
5.43750000e+00	5.99754330e-01
5.43849993e+00	5.73123570e-01
5.43949986e+00	6.04165080e-01
5.44049978e+00	6.03083490e-01
5.44150019e+00	5.43034200e-01
