# wave (µm)	R (µW cm-2 sr-1 µm-1)
7.11549997e+00	1.35140510e+00
7.11649990e+00	8.37875720e-01
7.11749983e+00	5.17057000e-01
7.11850023e+00	5.10238050e-01
7.11950016e+00	4.61714860e-01
7.12050009e+00	3.96809730e-01
7.12150002e+00	5.63939630e-01
7.12249994e+00	1.05600320e+00
7.12349987e+00	1.56420160e+00
7.12449980e+00	1.90554230e+00
7.12550020e+00	2.06824210e+00
7.12650013e+00	2.30791570e+00
7.12750006e+00	2.70653460e+00
7.12849998e+00	2.73710920e+00
7.12949991e+00	2.51319360e+00
7.13049984e+00	2.44547390e+00
7.13149977e+00	2.28172350e+00
7.13250017e+00	1.59663840e+00
7.13350010e+00	8.45024050e-01
7.13450003e+00	5.10305640e-01
7.13549995e+00	5.74685450e-01
7.13649988e+00	1.17306170e+00
7.13749981e+00	2.03887200e+00
7.13850021e+00	2.57839970e+00
7.13950014e+00	2.61753440e+00
7.14050007e+00	2.46789600e+00
7.14150000e+00	2.00172040e+00
7.14249992e+00	1.16090600e+00
7.14349985e+00	7.30172100e-01
7.14449978e+00	8.64301800e-01
7.14550018e+00	9.13858950e-01
7.14650011e+00	6.36090160e-01
7.14750004e+00	5.68031250e-01
7.14849997e+00	8.71451850e-01
7.14949989e+00	1.03471930e+00
7.15049982e+00	8.06649330e-01
7.15150023e+00	5.19177560e-01
7.15250015e+00	4.04068800e-01
7.15350008e+00	3.89601320e-01
7.15450001e+00	3.64874010e-01
7.15549994e+00	3.61229540e-01
7.15649986e+00	3.53014650e-01
7.15749979e+00	4.01640210e-01
7.15850019e+00	4.83897270e-01
7.15950012e+00	3.92538820e-01
7.16050005e+00	3.50996200e-01
7.16149998e+00	4.36105010e-01
7.16249990e+00	4.26787970e-01
7.16349983e+00	3.89225130e-01
7.16450024e+00	3.73039450e-01
7.16550016e+00	3.87617950e-01
7.16650009e+00	5.54410580e-01
7.16750002e+00	9.23591610e-01
7.16849995e+00	1.37667370e+00
7.16949987e+00	1.80613200e+00
7.17049980e+00	2.01497960e+00
7.17150021e+00	1.91868710e+00
7.17250013e+00	1.88934540e+00
7.17350006e+00	2.08925370e+00
7.17449999e+00	2.39157010e+00
7.17549992e+00	2.70461200e+00
7.17649984e+00	2.85203100e+00
7.17749977e+00	2.67886380e+00
7.17850018e+00	2.12707570e+00
7.17950010e+00	1.78119700e+00
7.18050003e+00	2.20957090e+00
7.18149996e+00	2.70472570e+00
7.18249989e+00	2.69022490e+00
7.18349981e+00	2.60294700e+00
7.18450022e+00	2.60935900e+00
7.18550014e+00	2.57617310e+00
7.18650007e+00	2.66928220e+00
7.18750000e+00	2.49410630e+00
7.18849993e+00	2.19860030e+00
7.18949986e+00	2.22400500e+00
7.19049978e+00	2.16736080e+00
7.19150019e+00	1.93979050e+00
7.19250011e+00	1.88561220e+00
7.19350004e+00	1.61641010e+00
7.19449997e+00	9.26766870e-01
7.19549990e+00	5.43397250e-01
7.19649982e+00	4.87940220e-01
7.19750023e+00	5.18763420e-01
7.19850016e+00	6.29795370e-01
7.19950008e+00	1.03415830e+00
7.20050001e+00	1.47956500e+00
7.20149994e+00	1.51168950e+00
7.20249987e+00	1.25722010e+00
7.20349979e+00	8.72912940e-01
7.20450020e+00	5.87485070e-01
7.20550013e+00	4.18148820e-01
7.20650005e+00	4.28119540e-01
7.20749998e+00	3.89789730e-01
7.20849991e+00	4.34462250e-01
7.20949984e+00	4.63745560e-01
7.21049976e+00	4.08437130e-01
7.21150017e+00	4.15353570e-01
7.21250010e+00	5.30158760e-01
7.21350002e+00	4.50643900e-01
7.21449995e+00	4.38677700e-01
7.21549988e+00	6.69985650e-01
7.21649981e+00	8.75662450e-01
7.21750021e+00	9.35651120e-01
7.21850014e+00	9.63278950e-01
7.21950006e+00	9.08152640e-01
7.22049999e+00	8.40759100e-01
7.22149992e+00	9.05802190e-01
7.22249985e+00	9.11136030e-01
7.22349977e+00	6.86290090e-01
7.22450018e+00	4.08599850e-01
7.22550011e+00	2.71083470e-01
7.22650003e+00	2.24938910e-01
7.22749996e+00	2.54858820e-01
7.22849989e+00	2.86772700e-01
7.22949982e+00	4.78834300e-01
7.23050022e+00	6.63790350e-01
7.23150015e+00	3.65771950e-01
7.23250008e+00	2.09923520e-01
7.23350000e+00	3.59073160e-01
7.23449993e+00	5.39413030e-01
7.23549986e+00	6.86029550e-01
7.23649979e+00	7.79683710e-01
7.23750019e+00	7.30968650e-01
7.23850012e+00	6.23541530e-01
7.23950005e+00	6.09096290e-01
7.24049997e+00	6.62059900e-01
7.24149990e+00	7.87422360e-01
7.24249983e+00	8.51703230e-01
7.24350023e+00	7.51479740e-01
7.24450016e+00	6.26934650e-01
7.24550009e+00	5.95190470e-01
