# wave (µm)	R (µW cm-2 sr-1 µm-1)
6.32350016e+00	1.00186240e-01
6.32450008e+00	9.09442750e-02
6.32550001e+00	7.61873420e-02
6.32649994e+00	6.29361940e-02
6.32749987e+00	5.39192300e-02
6.32849979e+00	3.88823150e-02
6.32950020e+00	2.29076180e-02
6.33050013e+00	1.30289710e-02
6.33150005e+00	1.30334530e-02
6.33249998e+00	2.22657170e-02
6.33349991e+00	3.45375540e-02
6.33449984e+00	4.22338690e-02
6.33549976e+00	4.57053330e-02
6.33650017e+00	6.14736640e-02
6.33750010e+00	5.67671810e-02
6.33850002e+00	3.92218230e-02
6.33949995e+00	3.20601870e-02
6.34049988e+00	7.71729350e-02
6.34149981e+00	1.47692200e-01
6.34250021e+00	1.20216320e-01
6.34350014e+00	1.45295250e-01
6.34450006e+00	1.52526300e-01
6.34549999e+00	5.44770730e-02
6.34649992e+00	2.11313930e-02
6.34749985e+00	3.78258410e-02
6.34849977e+00	6.25621300e-02
6.34950018e+00	8.27789750e-02
6.35050011e+00	9.96824650e-02
6.35150003e+00	1.11872700e-01
6.35249996e+00	1.24656220e-01
6.35349989e+00	1.36004240e-01
6.35449982e+00	1.34448410e-01
6.35550022e+00	1.19651460e-01
6.35650015e+00	1.02440510e-01
6.35750008e+00	8.02193360e-02
6.35850000e+00	5.03659770e-02
6.35949993e+00	3.50985190e-02
6.36049986e+00	4.00247690e-02
6.36149979e+00	3.47602590e-02
6.36250019e+00	4.02096360e-02
6.36350012e+00	7.33317580e-02
6.36450005e+00	1.07527360e-01
6.36549997e+00	1.33050290e-01
6.36649990e+00	1.47461770e-01
6.36749983e+00	1.67254020e-01
6.36850023e+00	1.83550400e-01
6.36950016e+00	1.88147650e-01
6.37050009e+00	1.82362330e-01
6.37150002e+00	1.71718430e-01
6.37249994e+00	1.55863790e-01
6.37349987e+00	1.30451430e-01
6.37449980e+00	1.08094890e-01
6.37550020e+00	7.98797760e-02
6.37650013e+00	4.79669460e-02
6.37750006e+00	3.03742740e-02
6.37849998e+00	4.62048990e-02
6.37949991e+00	7.69142060e-02
6.38049984e+00	1.02886150e-01
6.38149977e+00	1.14369370e-01
6.38250017e+00	1.08576850e-01
6.38350010e+00	8.58852860e-02
6.38450003e+00	6.54485970e-02
6.38549995e+00	6.56014610e-02
6.38649988e+00	9.71184150e-02
6.38749981e+00	1.09147590e-01
6.38850021e+00	7.61351290e-02
6.38950014e+00	5.87993190e-02
6.39050007e+00	6.98732810e-02
6.39150000e+00	6.61465230e-02
6.39249992e+00	4.62619700e-02
6.39349985e+00	2.76017280e-02
6.39449978e+00	3.00836690e-02
6.39550018e+00	4.65972200e-02
6.39650011e+00	6.97953400e-02
6.39750004e+00	8.54933710e-02
6.39849997e+00	9.13065300e-02
6.39949989e+00	8.59120490e-02
6.40049982e+00	6.67316390e-02
6.40150023e+00	6.55688200e-02
6.40250015e+00	5.88425140e-02
6.40350008e+00	3.68636590e-02
6.40450001e+00	2.57839170e-02
6.40549994e+00	2.88280570e-02
6.40649986e+00	3.42334700e-02
6.40749979e+00	5.48840020e-02
6.40850019e+00	7.68843960e-02
6.40950012e+00	1.10834980e-01
6.41050005e+00	1.33478300e-01
6.41149998e+00	1.29332560e-01
6.41249990e+00	1.37363120e-01
6.41349983e+00	1.34940490e-01
6.41450024e+00	1.22380600e-01
6.41550016e+00	1.01384060e-01
6.41650009e+00	7.01461430e-02
6.41750002e+00	5.85298280e-02
6.41849995e+00	7.15145470e-02
6.41949987e+00	6.06584590e-02
6.42049980e+00	4.45519570e-02
6.42150021e+00	7.44204150e-02
6.42250013e+00	1.30549000e-01
6.42350006e+00	1.54974000e-01
6.42449999e+00	1.45718380e-01
6.42549992e+00	1.60003080e-01
6.42649984e+00	1.66047380e-01
6.42749977e+00	1.59259950e-01
6.42850018e+00	1.52733530e-01
6.42950010e+00	1.22959650e-01
6.43050003e+00	7.76094350e-02
